"","created_at","character"
"79","2022-07-08 14:59:14","Soldier Boy"
"80","2022-07-08 14:59:15","Hughie"
"81","2022-07-08 14:59:50","M.M."
"82","2022-07-08 14:59:50","Homelander"
"83","2022-07-08 15:00:06","Soldier Boy"
"84","2022-07-08 15:00:16","Starlight"
"85","2022-07-08 15:00:16","Soldier Boy"
"86","2022-07-08 15:00:16","M.M."
"87","2022-07-08 15:00:24","Queen Maeve"
"88","2022-07-08 15:00:49","Soldier Boy"
"89","2022-07-08 15:00:57","Soldier Boy"
"90","2022-07-08 15:00:57","Ryan"
"91","2022-07-08 15:00:57","Homelander"
"92","2022-07-08 15:01:10","Black Noir"
"93","2022-07-08 15:01:10","Ryan"
"94","2022-07-08 15:01:14","Soldier Boy"
"95","2022-07-08 15:01:14","Homelander"
"96","2022-07-08 15:02:01","Soldier Boy"
"97","2022-07-08 15:02:08","Soldier Boy"
"98","2022-07-08 15:02:33","Soldier Boy"
"99","2022-07-08 15:02:34","Homelander"
"100","2022-07-08 15:03:00","Soldier Boy"
"101","2022-07-08 15:03:09","Ryan"
"102","2022-07-08 15:03:59","Homelander"
"103","2022-07-08 15:04:39","Homelander"
"104","2022-07-08 15:04:43","Soldier Boy"
"105","2022-07-08 15:04:43","Homelander"
"106","2022-07-08 15:05:06","M.M."
"107","2022-07-08 15:05:13","Soldier Boy"
"108","2022-07-08 15:05:13","Homelander"
"109","2022-07-08 15:05:35","Homelander"
"110","2022-07-08 15:05:40","M.M."
"111","2022-07-08 15:05:40","Queen Maeve"
"112","2022-07-08 15:06:03","Starlight"
"113","2022-07-08 15:06:09","Starlight"
"114","2022-07-08 15:06:25","Soldier Boy"
"115","2022-07-08 15:06:27","Homelander"
"116","2022-07-08 15:06:34","Butcher"
"117","2022-07-08 15:06:34","M.M."
"118","2022-07-08 15:06:48","Ryan"
"119","2022-07-08 15:06:48","Homelander"
"120","2022-07-08 15:07:03","Stan Edgar"
"121","2022-07-08 15:07:03","Queen Maeve"
"122","2022-07-08 15:08:00","Butcher"
"123","2022-07-08 15:08:00","Stan Edgar"
"124","2022-07-08 15:08:00","Ryan"
"125","2022-07-08 15:08:01","Butcher"
"126","2022-07-08 15:08:01","Starlight"
"127","2022-07-08 15:08:01","Soldier Boy"
"128","2022-07-08 15:08:01","Kimiko"
"129","2022-07-08 15:08:01","Black Noir"
"130","2022-07-08 15:08:01","Homelander"
"131","2022-07-08 15:08:05","M.M."
"132","2022-07-08 15:08:05","Queen Maeve"
"133","2022-07-08 15:08:16","Homelander"
"134","2022-07-08 15:08:19","Homelander"
"135","2022-07-08 15:08:34","Soldier Boy"
"136","2022-07-08 15:08:34","M.M."
"137","2022-07-08 15:08:34","Homelander"
"138","2022-07-08 15:08:34","Black Noir"
"139","2022-07-08 15:09:29","Black Noir"
"140","2022-07-08 15:09:46","Ashley"
"141","2022-07-08 15:09:56","Queen Maeve"
"142","2022-07-08 15:10:00","Homelander"
"143","2022-07-08 15:10:23","M.M."
"144","2022-07-08 15:10:43","A-Train"
"145","2022-07-08 15:11:10","M.M."
"146","2022-07-08 15:11:53","Soldier Boy"
"147","2022-07-08 15:12:03","Black Noir"
"148","2022-07-08 15:12:26","Ryan"
"149","2022-07-08 15:12:31","M.M."
"150","2022-07-08 15:12:32","Queen Maeve"
"151","2022-07-08 15:12:43","Black Noir"
"152","2022-07-08 15:12:43","Homelander"
"153","2022-07-08 15:12:46","Hughie"
"154","2022-07-08 15:12:46","Starlight"
"155","2022-07-08 15:12:46","Queen Maeve"
"156","2022-07-08 15:12:50","Butcher"
"157","2022-07-08 15:12:50","Homelander"
"158","2022-07-08 15:13:37","Black Noir"
"159","2022-07-08 15:13:37","Homelander"
"160","2022-07-08 15:13:43","Soldier Boy"
"161","2022-07-08 15:13:43","Kimiko"
"162","2022-07-08 15:13:43","Homelander"
"163","2022-07-08 15:14:28","Homelander"
"164","2022-07-08 15:14:33","Homelander"
"165","2022-07-08 15:14:54","Butcher"
"166","2022-07-08 15:14:54","Hughie"
"167","2022-07-08 15:14:54","M.M."
"168","2022-07-08 15:15:06","Soldier Boy"
"169","2022-07-08 15:15:06","Black Noir"
"170","2022-07-08 15:15:06","Homelander"
"171","2022-07-08 15:15:08","Queen Maeve"
"172","2022-07-08 15:15:16","Hughie"
"173","2022-07-08 15:15:16","Queen Maeve"
"174","2022-07-08 15:15:34","Ryan"
"175","2022-07-08 15:15:51","Queen Maeve"
"176","2022-07-08 15:15:51","Homelander"
"177","2022-07-08 15:16:23","Black Noir"
"178","2022-07-08 15:16:44","A-Train"
"179","2022-07-08 15:17:11","Soldier Boy"
"180","2022-07-08 15:17:11","Stan Edgar"
"181","2022-07-08 15:17:18","Soldier Boy"
"182","2022-07-08 15:17:18","M.M."
"183","2022-07-08 15:17:18","Stan Edgar"
"184","2022-07-08 15:17:22","Homelander"
"185","2022-07-08 15:17:49","Soldier Boy"
"186","2022-07-08 15:18:07","Ashley"
"187","2022-07-08 15:18:14","Ryan"
"188","2022-07-08 15:18:34","M.M."
"189","2022-07-08 15:18:37","Soldier Boy"
"190","2022-07-08 15:18:37","Homelander"
"191","2022-07-08 15:18:58","Soldier Boy"
"192","2022-07-08 15:19:20","Black Noir"
"193","2022-07-08 15:19:25","Hughie"
"194","2022-07-08 15:19:25","Starlight"
"195","2022-07-08 15:19:54","Soldier Boy"
"196","2022-07-08 15:19:54","Queen Maeve"
"197","2022-07-08 15:19:54","Homelander"
"198","2022-07-08 15:20:30","M.M."
"199","2022-07-08 15:21:36","Butcher"
"200","2022-07-08 15:21:36","Soldier Boy"
"201","2022-07-08 15:21:36","Queen Maeve"
"202","2022-07-08 15:21:36","Black Noir"
"203","2022-07-08 15:21:36","Homelander"
"204","2022-07-08 15:22:08","Hughie"
"205","2022-07-08 15:22:08","Soldier Boy"
"206","2022-07-08 15:22:16","Homelander"
"207","2022-07-08 15:22:20","A-Train"
"208","2022-07-08 15:22:20","Ashley"
"209","2022-07-08 15:22:31","Queen Maeve"
"210","2022-07-08 15:22:58","Frenchie"
"211","2022-07-08 15:23:24","Homelander"
"212","2022-07-08 15:23:31","Ashley"
"213","2022-07-08 15:23:34","Soldier Boy"
"214","2022-07-08 15:23:34","Black Noir"
"215","2022-07-08 15:23:35","Hughie"
"216","2022-07-08 15:23:36","Soldier Boy"
"217","2022-07-08 15:23:36","Homelander"
"218","2022-07-08 15:23:37","Homelander"
"219","2022-07-08 15:23:40","M.M."
"220","2022-07-08 15:23:45","M.M."
"221","2022-07-08 15:23:56","Soldier Boy"
"222","2022-07-08 15:24:13","Soldier Boy"
"223","2022-07-08 15:24:13","M.M."
"224","2022-07-08 15:24:44","Homelander"
"225","2022-07-08 15:25:09","Black Noir"
"226","2022-07-08 15:25:35","Soldier Boy"
"227","2022-07-08 15:25:46","Homelander"
"228","2022-07-08 15:25:52","M.M."
"229","2022-07-08 15:25:52","Queen Maeve"
"230","2022-07-08 15:25:52","Homelander"
"231","2022-07-08 15:26:44","Queen Maeve"
"232","2022-07-08 15:26:44","Black Noir"
"233","2022-07-08 15:27:03","Homelander"
"234","2022-07-08 15:27:34","M.M."
"235","2022-07-08 15:27:36","Soldier Boy"
"236","2022-07-08 15:27:56","Starlight"
"237","2022-07-08 15:28:05","M.M."
"238","2022-07-08 15:28:05","Frenchie"
"239","2022-07-08 15:28:34","Homelander"
"240","2022-07-08 15:28:50","Butcher"
"241","2022-07-08 15:28:59","Soldier Boy"
"242","2022-07-08 15:29:09","Butcher"
"243","2022-07-08 15:29:09","Black Noir"
"244","2022-07-08 15:29:13","Butcher"
"245","2022-07-08 15:29:13","Soldier Boy"
"246","2022-07-08 15:29:13","Stan Edgar"
"247","2022-07-08 15:29:13","Black Noir"
"248","2022-07-08 15:29:30","Soldier Boy"
"249","2022-07-08 15:30:22","Queen Maeve"
"250","2022-07-08 15:30:35","Butcher"
"251","2022-07-08 15:31:04","Soldier Boy"
"252","2022-07-08 15:31:11","M.M."
"253","2022-07-08 15:31:17","Soldier Boy"
"254","2022-07-08 15:31:17","Queen Maeve"
"255","2022-07-08 15:31:17","Black Noir"
"256","2022-07-08 15:31:17","Homelander"
"257","2022-07-08 15:31:33","Ryan"
"258","2022-07-08 15:31:33","Homelander"
"259","2022-07-08 15:31:46","Kimiko"
"260","2022-07-08 15:31:52","Soldier Boy"
"261","2022-07-08 15:31:52","Ryan"
"262","2022-07-08 15:31:54","Starlight"
"263","2022-07-08 15:31:54","Queen Maeve"
"264","2022-07-08 15:31:54","Homelander"
"265","2022-07-08 15:32:32","Soldier Boy"
"266","2022-07-08 15:32:32","Homelander"
"267","2022-07-08 15:32:55","M.M."
"268","2022-07-08 15:33:17","Black Noir"
"269","2022-07-08 15:33:22","Soldier Boy"
"270","2022-07-08 15:33:22","M.M."
"271","2022-07-08 15:33:22","Homelander"
"272","2022-07-08 15:33:40","Homelander"
"273","2022-07-08 15:33:41","Butcher"
"274","2022-07-08 15:33:41","M.M."
"275","2022-07-08 15:33:47","Homelander"
"276","2022-07-08 15:33:54","M.M."
"277","2022-07-08 15:33:54","Homelander"
"278","2022-07-08 15:34:12","Soldier Boy"
"279","2022-07-08 15:34:12","Frenchie"
"280","2022-07-08 15:34:12","Kimiko"
"281","2022-07-08 15:34:12","Deep"
"282","2022-07-08 15:34:12","Newman"
"283","2022-07-08 15:34:12","Homelander"
"284","2022-07-08 15:34:30","Soldier Boy"
"285","2022-07-08 15:34:40","Butcher"
"286","2022-07-08 15:34:40","Homelander"
"287","2022-07-08 15:34:48","Homelander"
"288","2022-07-08 15:34:50","Black Noir"
"289","2022-07-08 15:35:21","Ryan"
"290","2022-07-08 15:36:27","M.M."
"291","2022-07-08 15:36:30","Homelander"
"292","2022-07-08 15:36:38","M.M."
"293","2022-07-08 15:36:38","Ryan"
"294","2022-07-08 15:37:08","Butcher"
"295","2022-07-08 15:37:08","Soldier Boy"
"296","2022-07-08 15:37:10","Homelander"
"297","2022-07-08 15:37:11","Queen Maeve"
"298","2022-07-08 15:37:20","Black Noir"
"299","2022-07-08 15:37:22","Soldier Boy"
"300","2022-07-08 15:37:32","Starlight"
"301","2022-07-08 15:37:32","M.M."
"302","2022-07-08 15:37:46","M.M."
"303","2022-07-08 15:37:46","Queen Maeve"
"304","2022-07-08 15:37:53","Butcher"
"305","2022-07-08 15:37:53","Soldier Boy"
"306","2022-07-08 15:38:13","Ryan"
"307","2022-07-08 15:38:21","Butcher"
"308","2022-07-08 15:39:08","Soldier Boy"
"309","2022-07-08 15:39:20","Soldier Boy"
"310","2022-07-08 15:39:20","Black Noir"
"311","2022-07-08 15:39:24","M.M."
"312","2022-07-08 15:39:30","Frenchie"
"313","2022-07-08 15:39:32","Butcher"
"314","2022-07-08 15:39:39","Queen Maeve"
"315","2022-07-08 15:39:45","Queen Maeve"
"316","2022-07-08 15:40:00","Soldier Boy"
"317","2022-07-08 15:40:37","Soldier Boy"
"318","2022-07-08 15:40:45","Homelander"
"319","2022-07-08 15:40:55","Soldier Boy"
"320","2022-07-08 15:40:56","Homelander"
"321","2022-07-08 15:41:01","Homelander"
"322","2022-07-08 15:41:16","M.M."
"323","2022-07-08 15:41:56","M.M."
"324","2022-07-08 15:41:56","Homelander"
"325","2022-07-08 15:42:20","Queen Maeve"
"326","2022-07-08 15:42:30","Homelander"
"327","2022-07-08 15:42:30","M.M."
"328","2022-07-08 15:42:51","A-Train"
"329","2022-07-08 15:42:51","Stan Edgar"
"330","2022-07-08 15:42:51","Black Noir"
"331","2022-07-08 15:42:56","Soldier Boy"
"332","2022-07-08 15:42:56","Stan Edgar"
"333","2022-07-08 15:42:56","Homelander"
"334","2022-07-08 15:42:57","Black Noir"
"335","2022-07-08 15:42:57","Homelander"
"336","2022-07-08 15:42:58","Butcher"
"337","2022-07-08 15:42:59","A-Train"
"338","2022-07-08 15:43:04","Ryan"
"339","2022-07-08 15:43:04","Homelander"
"340","2022-07-08 15:43:06","Butcher"
"341","2022-07-08 15:43:06","Hughie"
"342","2022-07-08 15:43:06","Starlight"
"343","2022-07-08 15:43:06","M.M."
"344","2022-07-08 15:43:06","Frenchie"
"345","2022-07-08 15:43:06","Kimiko"
"346","2022-07-08 15:43:06","A-Train"
"347","2022-07-08 15:43:06","Deep"
"348","2022-07-08 15:43:06","Black Noir"
"349","2022-07-08 15:43:06","Homelander"
"350","2022-07-08 15:43:11","Queen Maeve"
"351","2022-07-08 15:43:17","M.M."
"352","2022-07-08 15:43:17","Black Noir"
"353","2022-07-08 15:43:38","Soldier Boy"
"354","2022-07-08 15:43:52","Homelander"
"355","2022-07-08 15:44:09","Queen Maeve"
"356","2022-07-08 15:44:17","Kimiko"
"357","2022-07-08 15:44:17","Stan Edgar"
"358","2022-07-08 15:44:25","Soldier Boy"
"359","2022-07-08 15:44:47","Soldier Boy"
"360","2022-07-08 15:44:47","M.M."
"361","2022-07-08 15:44:47","Homelander"
"362","2022-07-08 15:44:49","Black Noir"
"363","2022-07-08 15:44:58","M.M."
"364","2022-07-08 15:45:51","Butcher"
"365","2022-07-08 15:46:21","Soldier Boy"
"366","2022-07-08 15:46:26","M.M."
"367","2022-07-08 15:46:26","Queen Maeve"
"368","2022-07-08 15:46:27","Butcher"
"369","2022-07-08 15:46:27","M.M."
"370","2022-07-08 15:46:27","Stan Edgar"
"371","2022-07-08 15:46:27","Ryan"
"372","2022-07-08 15:46:27","Homelander"
"373","2022-07-08 15:46:28","Starlight"
"374","2022-07-08 15:46:47","Queen Maeve"
"375","2022-07-08 15:46:47","Homelander"
"376","2022-07-08 15:47:26","Stan Edgar"
"377","2022-07-08 15:47:33","A-Train"
"378","2022-07-08 15:47:33","Ashley"
"379","2022-07-08 15:47:42","M.M."
"380","2022-07-08 15:47:42","Homelander"
"381","2022-07-08 15:47:50","Soldier Boy"
"382","2022-07-08 15:47:50","Newman"
"383","2022-07-08 15:47:50","Black Noir"
"384","2022-07-08 15:47:50","Homelander"
"385","2022-07-08 15:47:57","Soldier Boy"
"386","2022-07-08 15:48:17","Queen Maeve"
"387","2022-07-08 15:48:22","Starlight"
"388","2022-07-08 15:48:30","Queen Maeve"
"389","2022-07-08 15:48:31","Butcher"
"390","2022-07-08 15:48:31","Soldier Boy"
"391","2022-07-08 15:48:31","M.M."
"392","2022-07-08 15:48:31","Ryan"
"393","2022-07-08 15:48:31","Homelander"
"394","2022-07-08 15:48:55","Homelander"
"395","2022-07-08 15:48:59","Butcher"
"396","2022-07-08 15:49:11","Kimiko"
"397","2022-07-08 15:50:16","Ryan"
"398","2022-07-08 15:51:09","Homelander"
"399","2022-07-08 15:51:10","Stan Edgar"
"400","2022-07-08 15:51:29","Soldier Boy"
"401","2022-07-08 15:51:29","Homelander"
"402","2022-07-08 15:51:50","Starlight"
"403","2022-07-08 15:52:13","Starlight"
"404","2022-07-08 15:52:25","Ryan"
"405","2022-07-08 15:52:29","Black Noir"
"406","2022-07-08 15:52:38","Black Noir"
"407","2022-07-08 15:52:42","Black Noir"
"408","2022-07-08 15:53:01","Butcher"
"409","2022-07-08 15:53:02","Soldier Boy"
"410","2022-07-08 15:53:36","Starlight"
"411","2022-07-08 15:53:36","Butcher"
"412","2022-07-08 15:53:36","Homelander"
"413","2022-07-08 15:55:04","Queen Maeve"
"414","2022-07-08 15:55:30","M.M."
"415","2022-07-08 15:55:47","Homelander"
"416","2022-07-08 15:55:56","Kimiko"
"417","2022-07-08 15:56:05","Butcher"
"418","2022-07-08 15:56:15","A-Train"
"419","2022-07-08 15:56:15","Deep"
"420","2022-07-08 15:56:15","Queen Maeve"
"421","2022-07-08 15:56:15","Black Noir"
"422","2022-07-08 15:56:36","Black Noir"
"423","2022-07-08 15:56:42","Ryan"
"424","2022-07-08 15:57:06","Soldier Boy"
"425","2022-07-08 15:57:06","Ryan"
"426","2022-07-08 15:57:06","Homelander"
"427","2022-07-08 15:58:06","Black Noir"
"428","2022-07-08 15:58:25","Soldier Boy"
"429","2022-07-08 15:58:30","Soldier Boy"
"430","2022-07-08 15:58:31","Butcher"
"431","2022-07-08 15:58:31","Stan Edgar"
"432","2022-07-08 15:58:57","Hughie"
"433","2022-07-08 15:58:57","Queen Maeve"
"434","2022-07-08 15:59:14","Hughie"
"435","2022-07-08 15:59:15","Homelander"
"436","2022-07-08 15:59:25","Queen Maeve"
"437","2022-07-08 15:59:27","Homelander"
"438","2022-07-08 15:59:37","Soldier Boy"
"439","2022-07-08 15:59:37","Black Noir"
"440","2022-07-08 15:59:37","Homelander"
"441","2022-07-08 15:59:50","Soldier Boy"
"442","2022-07-08 15:59:53","Black Noir"
"443","2022-07-08 16:00:00","Homelander"
"444","2022-07-08 16:00:02","Butcher"
"445","2022-07-08 16:00:02","Homelander"
"446","2022-07-08 16:00:07","Homelander"
"447","2022-07-08 16:00:08","Ashley"
"448","2022-07-08 16:00:08","Deep"
"449","2022-07-08 16:00:12","Butcher"
"450","2022-07-08 16:00:12","A-Train"
"451","2022-07-08 16:00:22","M.M."
"452","2022-07-08 16:00:48","M.M."
"453","2022-07-08 16:00:48","Ryan"
"454","2022-07-08 16:01:00","Butcher"
"455","2022-07-08 16:01:00","Deep"
"456","2022-07-08 16:01:00","Black Noir"
"457","2022-07-08 16:01:18","Stan Edgar"
"458","2022-07-08 16:01:25","Soldier Boy"
"459","2022-07-08 16:01:25","Ryan"
"460","2022-07-08 16:01:25","Homelander"
"461","2022-07-08 16:01:48","Black Noir"
"462","2022-07-08 16:01:48","Homelander"
"463","2022-07-08 16:02:14","Hughie"
"464","2022-07-08 16:02:29","Homelander"
"465","2022-07-08 16:02:35","Butcher"
"466","2022-07-08 16:02:35","Deep"
"467","2022-07-08 16:02:35","Black Noir"
"468","2022-07-08 16:02:56","Homelander"
"469","2022-07-08 16:03:15","Soldier Boy"
"470","2022-07-08 16:03:17","Soldier Boy"
"471","2022-07-08 16:03:40","Queen Maeve"
"472","2022-07-08 16:04:25","Queen Maeve"
"473","2022-07-08 16:04:45","Butcher"
"474","2022-07-08 16:04:45","Homelander"
"475","2022-07-08 16:04:50","Homelander"
"476","2022-07-08 16:05:02","Homelander"
"477","2022-07-08 16:05:24","Homelander"
"478","2022-07-08 16:05:32","Kimiko"
"479","2022-07-08 16:05:39","Deep"
"480","2022-07-08 16:05:39","Black Noir"
"481","2022-07-08 16:05:39","Homelander"
"482","2022-07-08 16:05:39","Black Noir"
"483","2022-07-08 16:05:40","Soldier Boy"
"484","2022-07-08 16:05:40","Homelander"
"485","2022-07-08 16:06:14","Queen Maeve"
"486","2022-07-08 16:06:14","Homelander"
"487","2022-07-08 16:06:21","Soldier Boy"
"488","2022-07-08 16:06:27","Butcher"
"489","2022-07-08 16:06:36","Starlight"
"490","2022-07-08 16:06:42","M.M."
"491","2022-07-08 16:07:10","Butcher"
"492","2022-07-08 16:08:02","Soldier Boy"
"493","2022-07-08 16:08:03","Soldier Boy"
"494","2022-07-08 16:08:08","Ashley"
"495","2022-07-08 16:08:41","M.M."
"496","2022-07-08 16:08:57","Starlight"
"497","2022-07-08 16:08:57","M.M."
"498","2022-07-08 16:09:18","M.M."
"499","2022-07-08 16:09:18","Homelander"
"500","2022-07-08 16:09:42","M.M."
"501","2022-07-08 16:09:42","Frenchie"
"502","2022-07-08 16:10:07","Black Noir"
"503","2022-07-08 16:10:10","Starlight"
"504","2022-07-08 16:10:28","Deep"
"505","2022-07-08 16:10:47","M.M."
"506","2022-07-08 16:11:14","M.M."
"507","2022-07-08 16:11:14","Black Noir"
"508","2022-07-08 16:11:43","Soldier Boy"
"509","2022-07-08 16:12:02","Soldier Boy"
"510","2022-07-08 16:12:02","Queen Maeve"
"511","2022-07-08 16:12:12","M.M."
"512","2022-07-08 16:12:13","Soldier Boy"
"513","2022-07-08 16:12:27","Starlight"
"514","2022-07-08 16:12:27","M.M."
"515","2022-07-08 16:12:56","Soldier Boy"
"516","2022-07-08 16:12:56","Homelander"
"517","2022-07-08 16:12:59","Soldier Boy"
"518","2022-07-08 16:12:59","Homelander"
"519","2022-07-08 16:13:36","Butcher"
"520","2022-07-08 16:13:36","Hughie"
"521","2022-07-08 16:13:36","Soldier Boy"
"522","2022-07-08 16:13:36","Queen Maeve"
"523","2022-07-08 16:13:51","Homelander"
"524","2022-07-08 16:13:53","Ashley"
"525","2022-07-08 16:14:13","Homelander"
"526","2022-07-08 16:14:43","Starlight"
"527","2022-07-08 16:14:43","Homelander"
"528","2022-07-08 16:14:54","Homelander"
"529","2022-07-08 16:15:26","M.M."
"530","2022-07-08 16:15:27","Black Noir"
"531","2022-07-08 16:15:46","Queen Maeve"
"532","2022-07-08 16:15:49","M.M."
"533","2022-07-08 16:15:52","Soldier Boy"
"534","2022-07-08 16:15:57","Butcher"
"535","2022-07-08 16:15:57","Soldier Boy"
"536","2022-07-08 16:15:57","Homelander"
"537","2022-07-08 16:16:13","M.M."
"538","2022-07-08 16:16:17","Butcher"
"539","2022-07-08 16:16:17","Soldier Boy"
"540","2022-07-08 16:16:17","Homelander"
"541","2022-07-08 16:16:32","Hughie"
"542","2022-07-08 16:16:32","Starlight"
"543","2022-07-08 16:16:32","Soldier Boy"
"544","2022-07-08 16:16:32","Homelander"
"545","2022-07-08 16:16:46","Soldier Boy"
"546","2022-07-08 16:17:00","Starlight"
"547","2022-07-08 16:17:02","Butcher"
"548","2022-07-08 16:17:02","Hughie"
"549","2022-07-08 16:17:02","Soldier Boy"
"550","2022-07-08 16:17:02","M.M."
"551","2022-07-08 16:17:02","Kimiko"
"552","2022-07-08 16:17:02","A-Train"
"553","2022-07-08 16:17:02","Homelander"
"554","2022-07-08 16:17:47","Soldier Boy"
"555","2022-07-08 16:17:47","M.M."
"556","2022-07-08 16:17:53","Frenchie"
"557","2022-07-08 16:18:19","Hughie"
"558","2022-07-08 16:18:53","Queen Maeve"
"559","2022-07-08 16:18:58","Homelander"
"560","2022-07-08 16:19:01","Soldier Boy"
"561","2022-07-08 16:19:01","M.M."
"562","2022-07-08 16:19:35","Queen Maeve"
"563","2022-07-08 16:19:52","Soldier Boy"
"564","2022-07-08 16:19:52","Homelander"
"565","2022-07-08 16:20:24","Hughie"
"566","2022-07-08 16:20:34","Hughie"
"567","2022-07-08 16:20:40","Starlight"
"568","2022-07-08 16:20:40","Kimiko"
"569","2022-07-08 16:20:40","Queen Maeve"
"570","2022-07-08 16:20:55","Soldier Boy"
"571","2022-07-08 16:20:55","Black Noir"
"572","2022-07-08 16:21:09","Homelander"
"573","2022-07-08 16:21:20","Soldier Boy"
"574","2022-07-08 16:21:20","Ryan"
"575","2022-07-08 16:21:30","Ryan"
"576","2022-07-08 16:21:35","Soldier Boy"
"577","2022-07-08 16:21:47","Soldier Boy"
"578","2022-07-08 16:22:02","Black Noir"
"579","2022-07-08 16:22:11","Black Noir"
"580","2022-07-08 16:22:23","Black Noir"
"581","2022-07-08 16:22:24","Butcher"
"582","2022-07-08 16:22:24","Soldier Boy"
"583","2022-07-08 16:22:39","Homelander"
"584","2022-07-08 16:23:02","Butcher"
"585","2022-07-08 16:23:02","Hughie"
"586","2022-07-08 16:23:02","M.M."
"587","2022-07-08 16:23:02","Frenchie"
"588","2022-07-08 16:23:02","Kimiko"
"589","2022-07-08 16:23:14","Ryan"
"590","2022-07-08 16:23:28","Soldier Boy"
"591","2022-07-08 16:23:39","Homelander"
"592","2022-07-08 16:23:44","Kimiko"
"593","2022-07-08 16:23:44","Stan Edgar"
"594","2022-07-08 16:24:10","Soldier Boy"
"595","2022-07-08 16:24:13","Soldier Boy"
"596","2022-07-08 16:24:21","M.M."
"597","2022-07-08 16:24:21","Queen Maeve"
"598","2022-07-08 16:24:27","Soldier Boy"
"599","2022-07-08 16:24:43","Queen Maeve"
"600","2022-07-08 16:25:30","Black Noir"
"601","2022-07-08 16:25:39","Butcher"
"602","2022-07-08 16:25:39","Soldier Boy"
"603","2022-07-08 16:25:39","Ryan"
"604","2022-07-08 16:25:39","Homelander"
"605","2022-07-08 16:25:53","Queen Maeve"
"606","2022-07-08 16:26:03","Homelander"
"607","2022-07-08 16:26:35","Kimiko"
"608","2022-07-08 16:27:02","Butcher"
"609","2022-07-08 16:27:05","Stan Edgar"
"610","2022-07-08 16:27:07","Homelander"
"611","2022-07-08 16:27:07","Homelander"
"612","2022-07-08 16:27:14","M.M."
